iter	RMSE
0	0.6054890536
1	0.5897193381
2	0.5747995891
3	0.5607624353
4	0.5480172546
5	0.5357237832
6	0.5246438351
7	0.5143085391
8	0.5047225045
9	0.4957810436
10	0.4869930073
11	0.4795707757
12	0.4724117666
13	0.4653945589
14	0.4591460857
15	0.4535109928
16	0.4482587859
17	0.4431786745
18	0.4385038869
19	0.4340963309
20	0.4302281541
21	0.4266734413
22	0.4232616624
23	0.4200443621
24	0.4172111915
25	0.4145145898
26	0.4121677667
27	0.4099427686
28	0.4077668885
29	0.4058068417
30	0.4039278577
31	0.4023306712
32	0.4006644633
33	0.3992214643
34	0.397920821
35	0.3965317541
36	0.3952626233
37	0.3941918635
38	0.3930899823
39	0.3920862185
40	0.3912248872
41	0.3903123327
42	0.3895742424
43	0.3888842509
44	0.3881214508
45	0.3874363218
46	0.3867580743
47	0.3861452157
48	0.3855286642
49	0.3849370578
50	0.3844626573
51	0.3839679453
52	0.3834943653
53	0.3829904949
54	0.3825822986
55	0.3821436521
56	0.381788361
57	0.3814469282
58	0.3810223996
59	0.3806624196
60	0.3802838677
61	0.3799591543
62	0.3795514352
63	0.37930149
64	0.3789890021
65	0.3787353862
66	0.3784625263
67	0.3782572541
68	0.3780392608
69	0.3777910207
70	0.3775358425
71	0.3772303912
72	0.3770096514
73	0.3768292754
74	0.3766834381
75	0.3764807406
76	0.3762025251
77	0.3759833379
78	0.3757952854
79	0.3755964692
80	0.3753851535
81	0.3752187442
82	0.3749900951
83	0.3748361839
84	0.3747103214
85	0.3745636152
86	0.3744506093
87	0.3743021589
88	0.3741675889
89	0.3739754746
90	0.3738392473
91	0.3737155717
92	0.3735874629
93	0.3734304872
94	0.3733173668
95	0.3732162328
96	0.3731357892
97	0.3729795523
98	0.372822356
99	0.372686483
100	0.3725350702
101	0.3723197122
102	0.3721567346
103	0.3720029823
104	0.3719293105
105	0.3718363657
106	0.3717307158
107	0.3716375724
108	0.3715026038
109	0.3714193244
110	0.3712993609
111	0.3711332049
112	0.3710073869
113	0.3708481135
114	0.3707502091
115	0.3706712681
116	0.370575715
117	0.3705149716
118	0.3704179424
119	0.3703434983
120	0.370287519
121	0.3702221764
122	0.3701196458
123	0.3700613266
124	0.369989754
125	0.3698939892
126	0.3698054648
127	0.3697579948
128	0.3696569388
129	0.3695860698
130	0.3695235659
131	0.36945368
132	0.3693897347
133	0.3692907933
134	0.3692090295
135	0.3691270922
136	0.3690222677
137	0.3689765258
138	0.3688647701
139	0.3688155277
140	0.3687217775
141	0.3686275124
142	0.3685647013
143	0.3685004476
144	0.3684588072
145	0.3683927546
146	0.3683087119
147	0.3681721598
148	0.3681060496
149	0.3680748301
150	0.3680029881
151	0.3679088522
152	0.3678615059
153	0.3677651923
154	0.3677163937
155	0.367617947
156	0.3675147793
157	0.3674597119
158	0.3673602533
159	0.3672599376
160	0.3671479629
161	0.3670472186
162	0.3669273057
163	0.3668611434
164	0.366805102
165	0.3667188908
166	0.3666292408
167	0.3665778706
168	0.3665174487
169	0.366429362
170	0.3662963528
171	0.3662602213
172	0.3661747047
173	0.3660874383
174	0.3660349876
175	0.3659694991
176	0.3658680721
177	0.3658067885
178	0.3657257213
179	0.3656893527
180	0.3656474076
181	0.3655948348
182	0.3655744989
183	0.3655238729
184	0.3654675614
185	0.3653473451
186	0.3652818499
187	0.3651961297
188	0.3651591334
189	0.3651114268
190	0.3650603333
191	0.3650107836
192	0.3649762672
193	0.3648920674
194	0.3648372157
195	0.3647325113
196	0.3646515036
197	0.3645541797
198	0.3644220769
199	0.364367574
200	0.3643167241
201	0.3642509336
202	0.3641668869
203	0.3641290676
204	0.3640688369
205	0.3640081073
206	0.3639490273
207	0.3638859338
208	0.3638386911
209	0.3637134101
210	0.3636653714
211	0.3635810928
212	0.3635458495
213	0.363441774
214	0.3633261207
215	0.3632375174
216	0.3632045272
217	0.3631715225
218	0.3631414795
219	0.3631045876
220	0.3630338074
221	0.362969039
222	0.3629019081
223	0.3628280979
224	0.3627672975
225	0.3627321681
226	0.3626957056
227	0.3626525007
228	0.3626002109
229	0.3625344421
230	0.3625156228
231	0.3625104093
232	0.3624844522
233	0.3624119272
234	0.3624020761
235	0.3623637949
236	0.3623519959
237	0.3622815621
238	0.3621842796
239	0.3621786774
240	0.3621432072
241	0.3620613648
242	0.3620288244
243	0.3620005679
244	0.3619944159
245	0.3619013935
246	0.3618844428
247	0.3618771854
248	0.3618406037
249	0.3618321605
250	0.3617911664
251	0.3617827828
252	0.3617772725
253	0.361709926
254	0.361650493
255	0.3616428638
256	0.3616375165
257	0.3615642425
258	0.3614818717
259	0.3614737304
260	0.3614656647
261	0.3613878693
262	0.3613823031
263	0.3613712595
264	0.3613144224
265	0.361260822
266	0.3611855517
267	0.3611758489
268	0.3611314809
269	0.361126535
270	0.3611178089
271	0.3610671115
272	0.3610185059
273	0.3609489947
274	0.3608959479
275	0.3608186065
276	0.3608144394
277	0.3606951589
278	0.3606339582
279	0.36062726
280	0.3605226989
281	0.3604779777
282	0.360423836
283	0.3603196627
284	0.3603088663
285	0.3602488755
286	0.3601923268
287	0.3601855626
288	0.3601275018
289	0.3600539401
290	0.359984221
291	0.359934687
292	0.3598968099
293	0.3598459957
294	0.3598094137
295	0.3597874574
296	0.3597331262
297	0.3596315265
298	0.3595868924
299	0.3595048794
300	0.3594492202
301	0.3594455795
302	0.3593982643
303	0.3593948017
304	0.3593740213
305	0.3593668799
306	0.3593445805
307	0.359288607
308	0.3592855178
309	0.3592806711
310	0.359234272
311	0.3591763371
312	0.3591250468
313	0.3591182569
314	0.359051146
315	0.3589968537
316	0.3589928398
317	0.3589898757
318	0.3589832904
319	0.3589324844
320	0.358885863
321	0.3588389873
322	0.358794541
323	0.3587387498
324	0.3586831216
325	0.3586216606
326	0.3586030509
327	0.358549583
328	0.3585465866
329	0.3584924607
330	0.3584607013
331	0.3584541608
332	0.3584498918
333	0.358381934
334	0.3583638524
335	0.3583004871
336	0.3582978685
337	0.3582952718
338	0.3582899627
339	0.3582401235
340	0.3581681994
341	0.3581218818
342	0.3580826962
343	0.3580290476
344	0.3580215828
345	0.357967842
346	0.3579639271
347	0.3579603302
348	0.3579025978
349	0.3578530142
350	0.3578006205
351	0.3577960863
352	0.3577605018
353	0.357757846
354	0.3576928033
355	0.3576590293
356	0.357607508
357	0.3575628602
358	0.3575190494
359	0.3574907709
360	0.3574193106
361	0.3573765903
362	0.3573245221
363	0.357253371
364	0.3572156153
365	0.3571610894
366	0.3571545822
367	0.3571162427
368	0.3571024452
369	0.3571000481
370	0.3570692976
371	0.3570301924
372	0.3569811988
373	0.3569768926
374	0.3569744967
375	0.3569722003
376	0.3569089976
377	0.3568487756
378	0.356812749
379	0.3567717237
380	0.356707729
381	0.3566489555
382	0.3565998074
383	0.3565434615
384	0.3564900608
385	0.3564454945
386	0.3564110431
387	0.3563648071
388	0.3563490635
389	0.3562934852
390	0.3562408186
391	0.3561893643
392	0.3561479284
393	0.35610008
394	0.3560537278
395	0.356027253
396	0.3560229603
397	0.3559935366
398	0.3559679336
399	0.3559307281
400	0.3558777595
401	0.35582013
402	0.3557944319
403	0.355747177
404	0.3557301903
405	0.3556997724
406	0.3556507714
407	0.3556080712
408	0.3555309102
409	0.3554936843
410	0.355434561
411	0.3553907032
412	0.3553578121
413	0.3553296619
414	0.3552995492
415	0.355244339
416	0.3552396177
417	0.35521038
418	0.3552079831
