iter	Passed	Remaining
0	16	11425
1	26	9285
2	39	9072
3	53	9275
4	67	9445
5	83	9680
6	97	9688
7	111	9663
8	125	9637
9	139	9644
10	153	9612
11	168	9678
12	182	9632
13	194	9552
14	210	9614
15	224	9584
16	235	9459
17	247	9377
18	263	9458
19	278	9457
20	292	9445
21	307	9474
22	321	9456
23	334	9411
24	351	9495
25	367	9518
26	383	9554
27	399	9578
28	415	9615
29	431	9638
30	447	9654
31	463	9677
32	482	9762
33	498	9770
34	512	9728
35	526	9705
36	540	9686
37	554	9661
38	568	9637
39	583	9630
40	598	9612
41	613	9608
42	627	9593
43	642	9581
44	657	9576
45	672	9565
46	700	9737
47	720	9791
48	747	9930
49	770	10014
50	793	10096
51	815	10157
52	831	10152
53	851	10182
54	868	10180
55	884	10174
56	903	10192
57	920	10187
58	936	10175
59	951	10149
60	966	10124
61	982	10112
62	998	10100
63	1014	10082
64	1029	10055
65	1043	10026
66	1057	9993
67	1073	9979
68	1088	9957
69	1102	9925
70	1117	9898
71	1132	9875
72	1147	9851
73	1160	9816
74	1176	9800
75	1194	9806
76	1210	9792
77	1228	9799
78	1243	9778
79	1262	9781
80	1280	9785
81	1296	9772
82	1313	9766
83	1328	9741
84	1342	9711
85	1356	9687
86	1370	9657
87	1385	9638
88	1401	9620
89	1416	9600
90	1430	9572
91	1444	9545
92	1458	9521
93	1472	9493
94	1486	9466
95	1499	9436
96	1512	9404
97	1527	9385
98	1541	9360
99	1555	9330
100	1566	9287
101	1580	9264
102	1593	9235
103	1606	9206
104	1617	9167
105	1631	9140
106	1644	9113
107	1658	9090
108	1672	9070
109	1687	9048
110	1701	9030
111	1716	9012
112	1732	8997
113	1747	8983
114	1761	8959
115	1775	8939
116	1791	8925
117	1804	8900
118	1818	8877
119	1832	8859
120	1847	8842
121	1861	8821
122	1875	8797
123	1888	8772
124	1902	8750
125	1913	8716
126	1926	8691
127	1940	8671
128	1954	8651
129	1968	8629
130	1981	8608
131	1995	8585
132	2008	8562
133	2022	8542
134	2035	8520
135	2048	8493
136	2063	8478
137	2073	8445
138	2085	8418
139	2097	8388
140	2108	8359
141	2121	8335
142	2134	8313
143	2145	8285
144	2157	8259
145	2170	8236
146	2183	8214
147	2196	8192
148	2208	8166
149	2220	8141
150	2234	8122
151	2247	8102
152	2258	8073
153	2270	8048
154	2283	8028
155	2296	8008
156	2307	7979
157	2318	7953
158	2330	7930
159	2343	7908
160	2354	7884
161	2369	7869
162	2382	7848
163	2395	7827
164	2406	7802
165	2419	7783
166	2432	7762
167	2444	7740
168	2455	7715
169	2469	7699
170	2483	7681
171	2496	7662
172	2507	7639
173	2518	7614
174	2530	7591
175	2542	7570
176	2554	7546
177	2566	7526
178	2579	7508
179	2592	7488
180	2602	7463
181	2614	7442
182	2627	7424
183	2640	7405
184	2652	7383
185	2665	7365
186	2678	7348
187	2693	7336
188	2706	7318
189	2719	7300
190	2732	7283
191	2745	7263
192	2758	7245
193	2770	7225
194	2781	7203
195	2794	7186
196	2807	7168
197	2818	7147
198	2830	7125
199	2842	7106
200	2854	7087
201	2865	7064
202	2877	7045
203	2889	7026
204	2903	7009
205	2914	6988
206	2926	6968
207	2938	6949
208	2948	6927
209	2960	6907
210	2972	6890
211	2984	6870
212	2996	6850
213	3008	6833
214	3023	6820
215	3038	6809
216	3050	6789
217	3060	6767
218	3073	6751
219	3086	6733
220	3098	6715
221	3110	6698
222	3124	6682
223	3137	6667
224	3148	6647
225	3159	6626
226	3173	6613
227	3185	6593
228	3196	6574
229	3210	6559
230	3222	6542
231	3234	6524
232	3244	6503
233	3256	6485
234	3268	6468
235	3280	6449
236	3291	6430
237	3304	6415
238	3319	6402
239	3332	6387
240	3343	6367
241	3355	6350
242	3367	6333
243	3381	6319
244	3393	6302
245	3406	6286
246	3422	6277
247	3437	6264
248	3451	6251
249	3465	6237
250	3477	6221
251	3488	6202
